电影名称,导演,演员,类型,简介,上映时间,头图
海关战线 海關戰線,邱礼涛,谢霆锋 张学友 林嘉欣 刘雅瑟 吴镇宇 关智斌 陈家乐 卫诗雅 袁富华 米雪 石修 黄锦燊 杨天宇 龙玥心 黎峻 朱天 刘若宝 丘占辉,剧情 动作,香港海关在一次例行海上巡逻中，查获一艘藏有大批杀伤力武器的货船，调查过程中遭遇一群海外势力轰炸抢夺。为追查走私真相，张允南（张学友 饰）派出下属周正礼（谢霆锋 饰）与国际刑警一同远赴海外，辗转庞大而复杂的军火黑市，顶着漫天炮火追查线索的周正礼刚有眉目，噩耗却突然从香港传来，原来军火失窃另有隐情……,2024,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2909591490.jpg
阿尔兹海默之家,文晏,周迅 胡歌,剧情 喜剧,因为阿尔兹海默症，退休老人李振华的家庭被迫卷入一场风暴，原本和睦的家庭生活变得暗流涌动。在与记忆和时间斗争的过程中，这一家人决定往前走……,2025,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2893451383.jpg
大红包2：龙凤呈祥,李克龙,李克龙 李春嫒 阿依帕丽 李胤维 张琪 何欢 宋晓峰 张晨光 朱容君 张磊 克拉拉 赵海燕 王德顺 邵峰,喜剧,拿不出彩礼娶自己心爱姑娘玉凤的屌丝金龙，意外继承了失踪几十年父亲的上市公司，摇身变成了百亿富翁，从而引发的一出关于真爱探讨的欢乐喜剧。,2025,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2916559553.jpg
中间人,徐磊,黄渤,剧情,遊走在人情和法律之間的「中間人」最終做出了自己的抉擇。,2030,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2630950730.jpg
我看见两朵一样的云,严艺之,王源 文淇 温茉言 闫楠 张颂文 陈创 赵天爱 赵子琪 杨九郎 钎城,爱情 科幻,"你有没有在这个世界感到过无比的孤独？有没有怀疑身边的一切是不真实的？
                                    
                                　　阿志（王源 饰）在大家眼里是一个奇怪的年轻人，他的业余生活都在寻找“这个世界是虚拟世界”的证据。直到古灵精怪的女生小一（文淇 饰）的出现，让他几乎放弃了寻找真相的念头。透过阿志和小一被快速点燃的爱情，生活显得如此浪漫而真实。可是，小一究竟是虚拟游戏的NPC、还是现实生活的完美爱人，他们能不能在这个世界上永远幸福地生活在一起？……",2025,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2887937761.jpg
密档,郑大圣,袁弘 李妍锡 邵峰 谢承颖 李晓川 黄龄,剧情 悬疑,"影片取材早期党史的真实历史事件。
                                    
                                　　大革命失败，绝密的中共文件藏匿于一幢人蛇混杂的居民楼。在腥风血雨的环境中，中共文档保管员突破敌伪围剿，在完成延安高难度“调档”任务的同时，将所有秘密文件转移至安全之地。",2026,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2899718933.jpg
西北卫士 未定名赵婷中国西北科幻片计划,赵婷,,科幻,"She has several projects in the works, including a historical Western about Bass Reeves, a real-life nineteenth-century African American marshal in the Indian Territory; and, more surprising, a science-fiction picture set in northwestern China.",2030,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
小倩,毛启超,边江 张惠霖 陈张太康 张思王之 傅晨阳 卢力峰 孙睿扬 郭政建 林兰 妶耳 锦鲤 张雨濛 白望文一,爱情 动画 奇幻,影片改编自蒲松龄《聊斋志异》之《聂小倩》。小倩生前被人所负含恨而终，死后化为女鬼，被姥姥囚禁于兰若寺。恰逢书生宁生进京赶考，借宿此地，意外救下小倩。逃亡途中，两人不断遭遇人间及地府势力的阻挠，却也在此般经历中感情升温。宁生带着小倩感受了人间美好，小倩决心还阳，却在到达鬼市后发现事情远没有这么简单……,2024,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2915242570.jpg
哪吒·魔童归来,赵世磊,敖犬 苏娜 金蒲 邱品程 法旭如 丁之凯 杨欣,剧情,该片讲述了哪吒将作恶多端的龙王三太子斩杀却被父母及世人误会选择自杀，在太乙真人的帮助下哪吒与龙王三太子双双死而复生，重生后的两人再次相遇的故事。,2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2911295332.jpg
寒江别,张新阳,张献民 杨晋恒 吕佳禾 陈涵 张如银,剧情,在一座江边古城中，以一个少女与僧人的日常劳作为线索而串联起几个小人物的生活切面。,2026,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2908769410.jpg
无界行者,赵之,富大龙 果靖霖 郑晓宇 安峻岐,传记,中国徒步第一人，历经千难万阻，徒步走遍全中国。是中国乃至世界唯一一个或者走出罗布泊无人区沙漠第一人。,2025,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2898098075.jpg
小城季风,金向怡,陈雅狄 吴天园 高铣莛 田鈊,剧情,摄影师万叶从法国回到阔别多年故乡，昔日恋人阿胜与闺蜜阿北已组建了一个幸福的家庭，万叶的到来，让三个人的生活和情感都逐渐微妙了起来。与此同时，万叶偶遇想要前往法国寻梦小镇姑娘小虎，在一座叫“海豚屿”的小岛上，两人开启了一段新的旅程。,2025,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2917075205.jpg
排练,刘奋斗,郝蕾 周一围 周云鹏,,在一个东北小城的宾馆里，一对男女计划把男人的妻子引来，并雇佣“杀手”杀死；期间阴差阳错发生几个意外，男人最终被警察逮捕，以一场虚空结束了这荒诞的一天。最后镜头拉开，这一幕故事是剧团排练的一个话剧。,2025,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540653594.jpg
长征之路,金铁木,杨俊生,,该片取材于长征路上的真实历史事件，浓缩贯穿长征中重大的典型事件，以倒序的手法展现了一个为寻找父亲而走入长征队伍的少年，在长征精神的感染下成长为红军战士的经历。而群像式的其他人物，则是作为普通红军战士的代表，展现他们不怕艰险、信仰坚定、意志顽强、勇于牺牲的精神。,2028,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
绝地重生,邱怀阳 聂军,王斑 侯祥玲 王韦智 源唯杰 曾培 丁宇辰 杨斯元 陈旺林,剧情 历史,讲述的是1935年红军长征面临生死抉择的关键时刻，行至云南扎西召开了命运转折性的扎西会议，改组了中央领导，重新确定了毛泽东同志军事领导权，在毛主席的正确英明领导下，中国工农红军战士四渡赤水、巧渡金沙江，中国革命走向胜利，从而完成了绝地重生命运改变的故事。,2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2904569004.jpg
热辣滚烫,贾玲,贾玲 雷佳音 张小斐 杨紫 沙溢 乔杉 李雪琴 马丽 魏翔 赵海燕 张琪 沈春阳 沈涛 许君聪 卜钰 朱天福 刘宏禄 张泰维 郭宇鹏 李海银 李国麟 张桂玲 孙婉竹 赵婷婷 法志远 姬晴 曹贺军 刘頔 贾文田 雷鸣武,剧情 喜剧,"大学毕业后仅仅工作短暂的一段时间，杜乐莹（贾玲 饰）便退回家中，宅家长达十年之久。她无所事事，拒绝和外界做过多接触，甚至和家人的关系也变得紧张起来。在和离婚回到娘家的妹妹乐丹（张小斐 饰）一次激烈的冲突后，乐莹选择离家出走，并且在烧烤店找了服务员的工作勉强维生。爱情、亲情、人生，似乎一时间均跌入了谷底，而阴差阳错间乐莹又结识了落魄的拳击教练昊坤（雷佳音 饰）。她支持着他的梦想，彼此又不得不去面对残酷的现实。人生至暗时刻，随波逐流的女孩是否决心逆流而上？
                                    
                                　　本片改编自日本电影《百元之恋》。",2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2904304396.jpg
楚幽王陵,孙飞,居来提·库提来 文晴 王奎荣 侍宣如 唐鑫 岳东峰 高梓刚 麦家琪 恬妞 袁祥仁,动作 悬疑 奇幻 冒险,影片主要讲述了由居来提饰演的发丘传人吴琪与挚友王富贵为寻找师父下落意外与军阀小姐林真真发生冲突，却不料三人均落入反派红菱计谋中。一场谈判后，三方势力各怀目的入墓。吴琪以发丘秘法寻穴定位巧破机关，带领众人在墓中死里逃生的故事。,2025,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2840938294.jpg
好奇我背影,王琳潇 陆筠,张祎曈 刘亚鹏 吴伟 包圆圆 孙明振,剧情,以女主林溪与多人的视角带出对电影与艺术、家乡小镇乃至社会现状的反思，并由此引出终极思考：究竟是“谁”的影子在导演这个世界？,2025,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2692351053.jpg
实习爱神,杜鹏,文章 白客 邓家佳 马苏 景岗山,喜剧 奇幻,电影是一部基于现实的奇幻电影，通过喜剧的外在包装，讲述一段当下普通人的都市传奇。,2029,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2898483853.jpg
今古英雄战异形,于仁泰,,奇幻,将由于仁泰执导的奇幻大作,2028,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
追·寻,张品成,周军 赵文捷,纪录片,"雪山草地，是长征中最为艰难困苦的自然环境，是铭刻红军长征艰苦卓绝征程的标志性地貌。爬雪山过草地，是专属于“长征”的标志性历史事件，集中展现了中国共产党领导的中国工农红军这支坚强的革命团队英勇顽强、一往无前的意志和品质。
                                        
                                    　　这部纪录电影，是讲述“一个普通人的长征”的纪录电影，一种让身边人从不理解到理解，从嘲讽到尊重的民间长征行为。
                                        
                                    　　周军先生，被人称为“草根红军专家”，历时20年自费实地踏勘印证“红军长征过雪山草地路线”，终有所成。
                                        
                                    　　他坚持：踩在脚底下的学问，才是真学问。目前，《红军长征过草地行军路线详考》和《红军长征过雪山行军路线详考》两本书都已经在四川人民出版社出版。
                                        
                                    　　来自负海拔地区——海南的纪录电影摄制组，以红军不怕远征难的精神，从2015年7月到2019年10月，前后10次，累计150多天，在红色文学作家张品成先生带领下，跟随周军和助理赵文捷的脚步...
                            
(展开全部)",2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2902932003.jpg
