电影名称,导演,演员,类型,简介,上映时间,头图
困兽,彭发,钟汉良 吴镇宇 张兆辉 胡杏儿 赵燕国彰 张国强 吉丽 古斌 王可如 周凯 延翔 费启鸣,剧情 动作 犯罪,千禧年前后，虎城动荡不安，政府为了重振秩序，降低犯罪率，决定铲除腐败的地下娱乐业和洗黑钱的行径。以四爷（张兆辉 饰）为代表的黑恶势力及商业调查厅厅长左君哲（吴镇宇 饰）暗中操控局势，试图趁市场开放之机浑水摸鱼争夺经营权。以江文峰（钟汉良 饰）为代表的警方与他们展开了一场惊心动魄的对决。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2899750679.jpg
不能流泪的悲伤,唐家辉,何蓝逗 蔡凡熙 王耀庆 许光汉 左小青 柯淑勤 姚爱寗,爱情,从青梅竹马到年少心动，赵心卉（何蓝逗 饰）和林汉聪（蔡凡熙 饰）认定彼此是携手一生的人，然而面对距离的隔阂、家庭的牵绊，以及学长陈孝名（许光汉 饰）的惊喜告白，让两人一次次走散。坚持还是放手？在心卉犹豫之时， 邻居大叔（王耀庆 饰）对爱情的笃定令她动容，她能否找回遗失的爱人，收获相伴一生的美满爱情？,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2886531289.jpg
零号追杀,霍穗强,任达华 安志杰 元华 姜珮瑶 雷牧,动作 犯罪,在老街生活多年的华叔（任达华 饰），倍受街坊尊敬，一直以卖古董为生。“有困难，找华叔”几乎成了街坊邻居们的生活信条。因为地产生意，老街遭当地青龙帮强拆，华叔古董店墙内意外发现6具尸体、7本护照以及枪支，引发众人惊骇，而这一切被老街的流浪汉曹老头看在眼里……与此同时，华叔遭到以阿杰（安志杰 饰）为首的神秘组织追杀，华叔究竟是谁？一切变得的扑朔迷离。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2895564868.jpg
长安诡事传,李志文 萧飞,任达华 曾梦雪 克拉拉 魏翔 淳于珊珊 祁圣翰 苏振华 汤梦佳 孙苏雅,悬疑 古装,唐朝之初一场为缓解旱灾而组织的祈雨祭祀，却被有心之人利用，营造出“千首妖”出没的诡案。聪慧过人的死刑犯独孤也因此被圣上任命调查此案，不料却牵扯出更大的阴谋。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2900210510.jpg
奇门遁甲2,项秋良 项河生,张晓晨 刘雅瑟 刘晓庆 蒋列 王洪千 徐绍航 孙文雪 吴豪 王滋润 丁博 王双宝 白泽泽,剧情 动作 恐怖,这看似太平盛世的烟火人间，其实并非只有人类存在。一直以来，世间的小妖小仙都化作人形生活在我们身边，之中有与人为善者，自然也有作恶多端者，而维持这一切秩序和平的人，便是隐匿江湖的秘密组织，雾隐门。 恶妖天邪企图利用太岁铲除雾隐门建造妖国，却不料太岁意外附到了吴因身上。自此，吴因由一名地痞流氓变成了依靠太岁力量施展绝技的高人，但行为举止也常会被太岁左右。与此同时，雾隐门弟子风小小为寻太岁踪迹找到了吴因，试图阻止天邪为祸世间的计划。最终，吴因决定利用自身的力量操控太岁，以阻止天邪的邪恶计划，拯救万千百姓。就在他与风小小联手击败天邪的同时，一个在风小小心中隐藏了多年的秘密，终于浮出水面……,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2891794125.jpg
暴风,陈嘉上,陈伟霆 王千源 王龙正 王紫璇 尹正 钱波 田小洁 董钒 马克 纪焕博 李东赫 孙洪涛 刘丕中 蔡启豪,剧情 动作 悬疑,上世纪30年代的汕头，王历文（王千源 饰）在执行任务的过程中意外重逢昔年好友陈家栋（陈伟霆 饰），两兄弟联手调查隐秘任务，神秘人的出现打乱了原本的计划。随着调查深入，兄弟二人之间的角力日渐明显。暴风已至，漩涡中的每个人都在竭力扳回一局……,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2890001019.jpg
回到明天,夏筠妍,赵英俊 史策 乔杉 包贝尔 王迅 白志迪 卢奕凡 马书良,喜剧,快递员鲍健生活窘迫，好不容易躲过了房东的围追堵截去上班，还被拖欠工资的领导狠批一顿，鲍健当场愤而辞职，却被领导以双十一不准离职为由打发去继续工作。在送快递的途中，他遇到了不少糟心的事情，经历了倒霉的一天。第二天，鲍健准备找领导辞职结钱，却发现自己拥有了重置时间的能力，他被困在双十一，反复循环着这一天，经历着同样的倒霉事儿。在想尽办法逃离双十一的过程中，鲍健逐渐意识到以前的自己错过了很多极其重要的人和事……,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2890322720.jpg
望道,侯咏,刘烨 胡军 文咏珊 王锵 吴晓亮 奚美娟 吕星辰 董畅 王紫逸 苏豪 梁霆炜 魏尊 曹可凡 蒋昌建,剧情 历史,从日本留学归来的陈望道接下了翻译《共产党宣言》的任务，从此改变了人生轨迹；陈独秀、俞秀松、施存统、经亨颐、戴季陶、蔡慕晖等历史人物一一出场。历经时代动荡变革，友朋或牺牲或离去，陈望道面临生死抉择的考验。,2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2888374121.jpg
三线轮洄,崔炎龙,姜珮瑶 许睿浩 张亚奇,剧情 爱情 悬疑 冒险,"黄河、长江、澜沧江起源一处，“水魈”三姓（丁、姜、易）沿江而居。何为“水魈”，他们可以在水中自由来去，并且拥有堪舆风水，寻龙探宝之技。
                                    
                                　　易飒，作为易家最后的水魈，经营着澜沧江一带的“水下银行”生意。在一次 “开金汤”的过程中，易飒偶遇并救下了携带姜家祖牌的宗杭。为了找寻当年真相和能够拯救自己的“水精胆”，易飒训练宗杭成为专业“水魈”，和丁家水魈丁玉蝶一起三人下水进入“祖源金汤”。而丁家族长丁长盛，为了号令三大家族，同样觊觎“水精胆”。在号称“亚洲百慕大”的宫亭湖底，一场激烈较量即将展开……",2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2889916388.jpg
爆裂点 爆裂點,林超贤 唐唯瀚,张家辉 陈伟霆 梁洛施 谭俊彦 姜皓文 周秀娜 杨祐宁 戴耀明 黄又南 李凯贤 张颕康 朱鉴然 杨天宇 张文杰 丘梓谦 许恩怡 麦子乐 李文标 苏宸褕 周汉宁 施祖男 李明宪 温绍平 吴瑞庭 卢惠光 唐诗咏 张雷 张慧仪 胡子彤 黎峻 洪助升 张国强,动作 犯罪,缉毒总督察李振邦（张家辉 饰）和卧底警员江铭（陈伟霆 饰）秘密执行追捕毒贩计划，无奈遭遇险境，江铭被迫游走黑白边缘，逐渐失控。为坚守底线，昔日队友互生杀意。猜忌、愤怒、疯狂、失望……全员丧失理智，濒临崩溃边缘！,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901058477.jpg
你猜我是不是英雄！,张凯,于洋 黄允桐 修睿 贾冰 魏翔 潘斌龙 马丽 文松 小山竹 朱天福,喜剧,狄克与妻子罗曼结婚十年，却难逃婚姻‘十年魔咒’宿命，打算离婚。他通过“密室逃脱”恶作剧集结众人制造平行时空的好戏，用另一个时空塑造完美景象，经历了一系列啼笑皆非、惊心动魄的故事,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2674255735.jpg
树上有个好地方2：美术老师的放羊班,张忠华,王建房 杜旭光 张智 张子默 陈骊山 马银秀 冷宇轩 张新锋 高字民,剧情 儿童,本片讲述了中学三年级四班因全校倒数成绩人数多，成为公认的“放羊班”，巴王超过便是这个班的“羊头”。有一天，学校借调来一位极具个性的美术老师，这名老师让学校领导大伤头脑，却让巴王超过等“放羊班”学生看到人生的希望。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896069784.jpg
无间之战 無間一戰,麦浩邦,黄宗泽 谢天华 陈山聪 张国强 陈惠敏 陈炜 蔡思贝 胡子彤 刘佩玥 林子善 白只 郭柏妍,动作 犯罪,影片讲述了一对警察兄弟，弟弟健诚（黄宗泽 饰）为卧底，哥哥健忠（谢天华 饰）为缉毒警，兄弟俩互在警方和贩毒集团的黑名单上，随着一场押送毒贩的任务，二人卷入其中，展开了一场无间反转的缉毒故事。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2896227502.jpg
可不可以不要离开我,王子鸣 萧飞,郭涛 卢靖姗 贾冰 陈乔恩 吴樾 克拉拉 盛以婕 姜皓文 朱鉴然,剧情 爱情,讲述了四个城市，四对爱人，同样处在30+人生阶段的他们，人生的轨迹开始出现偏差。四个不同身份，普通人们有了自己的故事，收获不一样的成长痛。30多岁，他们在客观困境中找到幸福的方向，走向不惑；就像在这个看似难熬的冬天，大家都在期待春暖花开，而春天如约而至。 三十不惑、爱情不惑、命运不惑。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2887605405.jpg
劫数难逃,孙立基,张继聪 郑浩南 张建声 蔡瀚亿 黄光亮 林雪,剧情 犯罪,孙逸臣（张继聪 饰）在一次出差中，因女秘书意外遇害身亡而含冤入狱。狱中不仅要与狱霸司徒（黄光亮 饰）周旋，还要面对凶残狱长（郑浩南 饰）的霸凌，只有狱警胡海（张建声 饰）勉强关照。狱中本就度日如年，而一场致命的传染病此时也悄然降临。面对“天灾人祸” 于逸臣决定利用 知识 改变命运，求生申冤。他将如何虎口脱险，为自己博得一线生机？,2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2891834011.jpg
贝肯熊：火星任务,王超,梁晓强 巴赫 张东 郭政建 宣晓鸣 凌振赫 曾梦玉 蔡娜 杨洁,喜剧 科幻 动画 冒险,最倒霉的特工贝肯熊，为了重获认可，偷偷混入火星任务，不料却闯进了火星里的神秘世界，和要抓捕的火星怪物成为了朋友。在特工荣誉和友情之间，他将面临一场前所未有的考验。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2898356205.jpg
我是哪吒2之英雄归来,文帝 陈朝意,王薇 藤新 傅晨阳 刘三木 青泯邑 关帅,剧情 喜剧 动画 奇幻,陈塘关大战后哪吒和龙王三太子同归于尽，太乙真人将哪吒的仙体带回乾元山，等待时机将哪吒重生来帮助姜子牙封神伐纣。在重生的紧要关头哪吒却落入申公豹和东海龙王精心布置好的巨大阴谋之中。哪吒能否打破申公豹的魔咒？能否成为真正的英雄？哪吒艰难的重生之路即将开启，英雄归来之战一触即发……,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2898678444.jpg
东北猛兽,文松 李春啸,文松 贾冰 崔志佳 张子栋 寇振海 杜建桥 夏梓桐 一龙,剧情 喜剧,讲述了动物园老园长孙得有在面对时代变迁、内部困境等层层压力下，通过种种奇葩手段坚持运营动物园，故事通过父子关系的设置，真实的展现出东北地区老龄化严重、年轻人流失等社会问题。通过对经济效益和精神效益进行讨论，表现出当今社会和谐统一的价值观。故事中孙得有等人皆是普普通通的小人物，但是人物虽平凡，但其身上却蕴含着不平凡的价值观、正能量，对儿子孙小虎的塑造，引入年轻人的视角，孙小虎找回本心回到家乡，让观众感受到年轻人打破迷茫的勇气和决心，侧面反映出国家推行的“归雁计划”的精神指示。通过展现动物园的改革，展现出东北人民不抛弃不放弃的奋斗精神。只有人与家的和谐发展，才能创造更美好的生活。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2887366474.jpg
天龙八部之乔峰传,甄子丹 阚家伟 郑伟文,甄子丹 陈钰琪 刘雅瑟 惠英红 吴樾 张兆辉 王君馨 杜玉明 吕良伟 徐小明 袁祥仁 潘宏梁 李中华 梁国荣 成城 张德晖 郭九龙 严华 蔡祥宇 胡然 赵华为 喻亢 徐向东 曹世平 李卫 袁近辉 张治洲 端木艺晨 喻庆辉,剧情 动作 武侠 古装,北宋年间，丐帮帮主乔峰英雄侠义，受武林拥戴，却突遭指认为契丹人而众叛亲离。追寻身世，寻找仇人途中，乔峰与慕容家婢女阿朱相识相知，情愫互生。二人历经聚贤庄、雁门关、镜湖风波，直至阿朱因马夫人设计被乔峰错杀，乔峰终查出一切皆是慕容复为复辟燕国的阴谋，乔峰手刃慕容复，随后带着阿朱的遗愿孤身前往塞外。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2886371949.jpg
中国青年：我和我的青春,林珍钊 周润泽 王良 王晟赫,张艺兴 王一博 周冬雨 俞灏明 邢菲 邓超元 莫小奇 王子异 章若楠 高亚麟 王籽臻 宋轶 邢昭林 李琦 海陆 释小龙,剧情 历史,影片分为《旗帜》《看见》《寻找》三个单元叙事，讲述志愿垦荒、西部支教、公益助学三个不同年代的热血青春故事，展现每一代青年都有自己际遇和机缘，彰显中国青年时刻与祖国同呼吸共命运的时代精神。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2891185777.jpg
舒克贝塔·五角飞碟,郑亚旗,杨凝 张璐 郑渊洁 王凯 郑在 露西 周侗 孙熹鹤 马斑马 胡正健 李翰林 刘芊含 刘小倩 孙睿扬 刘李桥 吟良犬 刘儒林 三羊 木小柏 姜子翰,喜剧 科幻 动画 冒险,舒克贝塔驾驶着全新装备五角飞碟向宇宙出发冒险，但是当他们回到地球时突发意外，穿越到十年后的魔方市。老鼠们的航空公司已经被捣毁，有一伙自称“极盗团”的老鼠们，正在霸占机场做尽坏事！为了重建自己的家园，舒克贝塔加入极盗团展开了一场卧底行动！这一次坚强勇敢的舒克贝塔该如何应对？,2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2902498511.jpg
洋子的困惑,李珏,黄小蕾 郑雅匀 唐曾 宫宏佳 黄艾丽 任杰 付立加 杨玉兰 王正永 杨子枫 王溪鹭 陈宏 李珏 段作蓉,剧情 家庭,一次偶然的机会，满怀困惑的洋子用恶作剧的方式打开了母亲的秘密盒子，从而揭开了一段欠缺沟通的三代家庭关系……,2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2899182771.jpg
意外人生,左志国,吴镇宇 任素汐 李康生 乌兰托雅·朵 董博 蓝曼予 丁建钧 周展翅 张忻恺,剧情 爱情 悬疑,身在澳门的潘义铭 (吴镇宇 饰) 意外收到一份30年未见面的父亲的遗嘱，父亲留给他一笔巨额遗产，要求潘义铭参加葬礼才能继承。他遵守遗嘱回到了出生的中国南方小城。在这里，有他曾经的恋人林悦 (任素汐 饰) 、表面老实巴交的情敌华琪(李康生 饰) 、素未谋面的女儿木子 (乌兰托雅 饰) ，以及一些残留的记忆和错综交织的秘密与阴谋。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2896823833.jpg
黑金古殿,陈聚力,景研竣 陈叶生 王泊文 Bowen Wang,动作 悬疑 冒险,一位老者带着西南山区发生的诡事，前来寻求吴老板三人的帮助。山中雾起，村民失踪，众人追寻怪事至山区废弃的黑金矿洞，发现所有诡异都来源于矿洞深处的神秘生物，在经历重重危机之后，三人不仅瓦解了老者的阴谋，还顺利解决了大雾问题。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2900102883.jpg
封神：祸商,张哲,姚笛 王群石 吴旗 王劲松 景岗山 邝晓彤,剧情 奇幻 古装,妲己将姬昌囚禁于朝歌，另一边派申公豹收集玄石，兴建鹿台。意图引妖王降世，重振妖族，而姬昌就是最后一颗玄石。姬昌的儿子雷震子，从小寄养在终南山，雷震子奉师命营救姬昌回到西岐。雷震子与姬昌经历一路的艰难险阻，不仅建立了深厚的父子情，也有了同一个目标，那就是推翻暴虐无道的纣王与妲己，救百姓于水火。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2895534770.jpg
东北恋哥2对你爱不完,秦小珍,包贝尔 潘斌龙 江易轩 赵夕汐 叶浏 唐人 小奥奥 李屹伦 孙美楠 魏翔 乔杉 韩云云 李会长,剧情 喜剧 爱情,本片讲述了发生在上世纪90年代初东北的一段爱情故事。年轻气盛的私营小巴司机徐铁爱上了家境优渥的舞蹈演员陈丽莎，因为现实差距，二人的关系遭到丽莎母亲的强烈反对。为了赚钱， 徐铁答应帮助老板二条接货，而陷入险境。默默暗恋徐铁的蚊子为救徐铁而牺牲，让徐铁悔恨不已，而陈丽莎却在现实面前放弃了徐铁。因年少无知而犯错，付出了代价的徐铁终于成长，醒悟真爱原来在身边的故事。,2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2886834221.jpg
金牌保镖,车志刚,邵庄 安宁 大牛 邢冬冬 裴筝筝 包志强 杨羽,动作 悬疑,"双腿残疾的童松是矛盾安保公司的创始人，团队中还有两人，分别是擅长机械的安宁和心思单纯、身手了得的大牛。公司主要的业务是保护客户的人身和财产安全，俗称“保镖”。
                                    
                                　　这天，他们接到一个为期三天的匿名委托，要保护的人是安宁的妹妹安逸。自此之后，安逸便频生意外。童松认为事情并非偶然，果然在细节之处发现端倪，证实了猜测。背后可能是一个善用制造意外杀人于无形的组织。就在这时，安逸却不见了……",2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896690010.jpg
斗破苍穹·觉醒,赵小丁,马伯骞 李九霄 张涵予 高曙光 姜武 胡静 黄雯 姜卓君 夏若妍 靳阳阳 徐可珑 张心一,剧情 动作 奇幻,影片是整个斗破宇宙故事的开端；天赋异禀的少年武者萧炎为了恢复斗气找回尊严，带着藏有“药老”灵魂的戒指，只身离开乌坦城，踏入诡谲险丽的魔兽山脉，苦苦寻找修炼提升斗气的秘法的试炼之路的开始。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2900776568.jpg
介子鬼城,陈聚力,景研竣 陈叶生 王泊文 王小伟,剧情 惊悚,一封寄给吴邪已故爷爷吴老狗的神秘来信，打乱了吴邪、张起灵、王胖子的退休计划。信件指向外蒙古的一个“彗星”墓，铁三角决定一探究竟，却意外卷入一场超乎想象的冒险。心怀叵测的蒙古悍匪、“彗星”的逃生倒计时、诡异的墓室规则，还有那个看不见的“它”，铁三角不得不放手一搏……,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2897992070.jpg
红色特工,张哲 张明国,王龙正 杨皓宇 刘恩尚 郑清文 赵毅 侯长荣 王铂清 于雷 王昭 张皓森 南思恺 徐峰 高凯 乔靖雯 訾富尔,剧情 动作 战争,"辽沈战役前夕，东北野战军闪击锦州外围县城，将锦州包围。代号为“青蛇”的情报员被捕，身负重任的保密局科长林希受命前往锦州，会同党通局周应群、国防二厅江伟，对此次事件进行彻查。
                                    
                                　　林希实为一名红色特工，他的秘密任务则是解救“青蛇”，助其将锦州城防图交到城外东野手中，支援对锦州的攻坚。不料锦州城内暗流涌动、变故丛生，面对敌人的重重设陷，林希是否能顺利完成任务？与夏青一行人的相遇也像在人生的单行线上突然交叉进一条本不相关的线，似乎让林希找到了新的前行方向，这次他的目的地又在何处？
                                    
                                　　至暗时刻，等待他的必定是一场腥风血雨的战斗！",2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896302091.jpg
倍儿喜欢你,郭大雷,贾冰 柳岩 杨新鸣 于洋 施予斐 杨大鹏 高搏 李昕亮 黄允桐 张子墨 蒋欣奇 郭力行 刘子豪 常远 魏翔 鄂靖文 潘斌龙 冯雷 曾黎 孙越 修睿 刘天佐 范湉湉 喳喳 林柒予 潘柚彤 马典滨 单越升,喜剧 爱情,爱情的仪式感从不会缺席，要相信总有人手捧鲜花为你而来。范奎恩（柳岩 饰）和宫保（贾冰 饰）从针锋相对，到一个眼神就读懂彼此。他们共品人间烟火气，在朝夕相伴中，擦出爱的火花。但生活不是童话，当热情渐熄，他们是否还会始终如一的陪伴在彼此身边？,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2887595100.jpg
纸人回魂,成思毅,韩栋 陈紫函 陈国坤 钟雷 张皓然 魏璐,悬疑 恐怖,"浮水镇莲生纸扎铺今日来了一位客人。来人名叫陆小笙，是消闲报的民俗记者。这次来到纸扎铺，是想向纸扎铺老板南裳打听一桩奇闻异事。
                                    
                                　　据说那是二十年前，百贵镇乔府小姐乔媛媛枉死，乔管家请纸扎匠刘三为乔媛媛做了纸人陪葬。刘三给纸人点了眼睛，导致乔媛媛借纸人回魂杀了乔老爷。
                                    
                                　　陆小笙并不相信这种封建迷信的说法，可当年和这件事有关的人都已经故去。他打探到南裳便是刘三的徒弟，所以他此次前来，就是想从南裳口中了解这件事背后的真相。",2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2886099891.jpg
超级飞侠：乐迪加速,冯操,张嘉骐 吴若萱 何沛祺 朱子俊 施子墨 程思航 卢力峰 徐佳琦 张占坤 杨天翔 郭政建 傅晨阳 李诗萌 乔诗语 阎萌萌 刘蕊 张碧玉 羊仔 熊陈捷 董铃燕,喜剧 科幻 动画 冒险,超级飞侠乐迪接到一项新任务！一个神秘的包裹，一次跨越大洲的派送，乐迪却因此偶然介入了一场将世界陷于危机的恶作剧中。面对危机，乐迪和其他超级飞侠将发挥各自的救援能力，争分夺秒合力拯救世界！,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2893886888.jpg
狙击之王：暗杀,霍穗强,麦亨利 杨杏 叨叨 李东赫 郭慕涵 卢瑾灏 杜康 张博豪 汤镇业 楼学贤 修睿 李嘉颐 李雨蔓 王寒阳 赵小宁 霍穗强,动作 犯罪,讲述天才女狙击手安娜被迫接受刺杀任务，在执行过程中逐渐觉醒为善良、大爱的正义战士，联合军方特工阿泰在面对毒枭迫害百姓时挺身而出、声张正义。二人联手阻止利比瓦拉国毒品种植和贩卖合法化法案通过，与毒枭大反派罗杰展开生死对战，最终粉碎反派阴谋，保护百姓不受毒品侵害，挽救国家的热血故事。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2886973346.jpg
回魂之夜,项秋良 项河生,王紫逸 刘园媛 王劲松 李勤勤 韩玺曈,惊悚 恐怖,影片由三个故事构成，讲述了主人公杜安在食色的欲念下迷失自我，背叛婚姻，又因为女儿和亲情的牵绊，唤醒了仅存的良知。面对幽会的情人、雨夜撞伤的老人，杜安的良知在善恶之间徘徊，最终又能否做出正确的选择？善不敌恶，还是恶不败善？善恶之间的较量，亟需出走的良知回魂审判！,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2893740168.jpg
打更人怪谈,纪易达,彭禺厶 苑琼丹 陈创 陈玉勇 王歆霆,惊悚 恐怖 古装,故事讲述了民国年间，林家镇突发怪案，城中众多百姓无端中邪，如同丧尸游魂一般被一股神秘力量控制牵引，在一夜之间消失 不见，城中打更人沈小寒为营救百姓，展开调查，凭借打更人一脉的道术秘法，最终找到并击败了因炼制蛇蛊走火入魔的姜先生，救回了城中百姓，再次守护了林家镇的正义。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2896072697.jpg
除恶：飞车党,李伟,刘俊孝 邹兆龙 汤镇业 骆达华 荣飞 何昕霖 唐振超 代庭睿 齐超 伍国宝,动作 犯罪,改编取材于佛山刑警八大队打击“两抢一盗”英雄事迹。佛山市刑警八大队是国内成立的第一支打击街面“两抢”犯罪的专业队伍，这支队伍对于扭转“两抢”案件多发的形势起到关键作用，2004年—2010年共抓获各类违法犯罪嫌疑人3万多名，被市民称为“铁骑神鹰”。魔高一尺道高一丈！面对穷凶极恶、万分狡猾的恶势力团伙，八大队精密部署开展专项打击行动，他们不惧生命危险与之生死较量、浴血搏斗。电影将高度还原、精彩呈现干警驾驶摩托飞车追凶，与手持刀枪的犯罪分子贴身肉搏等惊险刺激的高燃桥段，从跟踪、取证、追捕等完整环节讲述热血除恶故事，传颂佛山公安刑警八大队的英勇热血、守护平安的正能量。在办案过程中经常遇到种种困难，甚至每天都面临着受伤乃至牺牲的可能，但没有一个人退缩过。这正是近年来，全国公安机关立党为公，立警为公，践行无私无畏、甘于奉献的表现。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2888969278.jpg
完美的死法,孙兴盛,李升徽,科幻 悬疑,2068年，拟感技术空前发达，人类可以在虚拟世界体验任何现实世界做不到的事。青年画家江枫沉迷于虚拟世界中体验各种各样的死法，直到有一天忽然断电，江枫修理电箱时遇到了袭击，他被迫在临死前选择一种死法。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2902566834.jpg
河神·诡水怪谈,刘轩狄,谢苗 衣云鹤 张新童 林枫烨 刘雪涛 王蕴凡 释臣伟 李高吉 尚铁龙 王双宝,动作 悬疑 犯罪 奇幻,故事讲述了天津卫五河捞尸队的水上警察郭得友与师弟丁卯在酒肉和尚李大愣的撺掇下一同探查三岔河口沉尸案，经历了魏家坟探鬼楼、阴阳河仙指路、恶狗村捉妖，最终抓住幕后真凶的故事。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2893541388.jpg
浴血无名·奔袭,翌翔 郭勇,李东学 任天野 宋佳伦 罗立群 娄宇健 郝汉 赵润南 张桐 张光北 黑子 何达 刘芊含,剧情 战争,影片讲述了抗美援朝战争期间，老兵杜川奉命重整侦察排执行深入敌后袭扰任务，为了主力部队的存亡，志愿军侦察三排舍命奔袭，以大无畏的勇气、向死而生的信念铸起了阻挡敌人钢铁洪流的血肉长城。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2898524394.jpg
伊卡洛斯,何力兵,刘旸,喜剧 脱口秀,"神话中的伊卡洛斯，有一双蜡做的翅膀。他飞向太阳，但双翼上的蜡因过热而逐渐融化。
                                    
                                　　最后，伊卡洛斯跌落水中丧生，被埋葬在一个海岛上，成为了遗憾。
                                    
                                　　在《伊卡洛斯》这个专场中，我也把我那双蜡做的翅膀，展示给你看。翅膀上，有着脆弱、焦虑、惶恐、自卑。
                                    
                                　　但飞向太阳仍然是值得的。
                                    
                                　　如果你热爱飞翔，天空就是你的宿命。
                                    
                                　　伊卡洛斯是个不一样的人，我也希望你看完这个专场后能觉得：刘旸这个人，挺不一样的。",2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901322372.jpg
四季童年,王烨,小武 小美 Siu Mei 小淹,剧情 喜剧 动画 奇幻,男主是个在农村离异家庭长大的80后，在父亲因病去世后，离开老家在大城市工作。得知村子要进行拆迁棚改后，回到老屋子里收拾东西。看到了爸爸的遗像以及小时候的物品，觉得从小成长的村子再也看不到了，想回到小时候看看逝去的亲人。因弹珠形似多重宇宙，继而通过的一颗弹珠为媒介穿越到了小时候男主的身上，重新经历了一次童年的四季，也经历了再次失去一些人和物的故事。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2853526966.jpg
小角色,郑权,曹瑞 周大勇 衣云鹤 李子雄 吴尔渥 郑胖 崔大笨 张赢 张百乔 王学庭 代新 田媛,喜剧,憋了巴屈的男主陈大器怀揣祖传古董，阴差阳错的来到大城市里的一个洗浴中心。没想到在这个晚上，破马张飞的糊涂兄弟、贼拉尿性的老大龙哥、吊儿郎当的街头混混，几伙人都各自怀着秘密汇聚在洗浴中心。这些生活中的小角色们阴差阳错、狭路相逢，惹出一场荒诞好戏。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2896638802.jpg
最好的相遇,哈智超,金世佳 邱泽 张钧甯 姜珮瑶 刘文治 吴宇恒 陈晓依 马佳玛尧 周漾 王钊 杨旭 李浩天 孙博 何熙维 线雨轩 史启 刘玲子 李飞扬,剧情 爱情,人生失意的B超师曹卢医（金世佳 饰）经人介绍来到了东山庭院疗养院工作。在这里，曹卢医看到了另一个如世外桃源般不同寻常的世界，也结识了刘英俊（邱泽 饰）和吴燕子（张钧甯 饰）这一对特殊的恋人。他们笨拙却无比坚定的爱情慢慢改变了隐藏着秘密的曹卢医。而直到一场意外的降临，让所有人都陷入了艰难的抉择……,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2899220055.jpg
