电影名称,类型,导演,演员,上映时间,简介,头图
疯狂动物城,动画 动作 冒险,拜伦·霍华德,金妮弗·古德温 杰森·贝特曼 伊德瑞斯·艾尔巴,2016-03-04,一个现代化的动物都市，每种动物在这里都有自己的居所，有沙漠气候的撒哈拉广场、常年严寒的冰川镇等等，它就像一座大熔炉，动物们在这里和平共处——无论是大象还是小老鼠，只要努力，都能闯出一番名堂。兔子朱迪从小就梦想能成为动物城市的警察，尽管身边的所有人都觉得兔子不可能当上警察，但她还是通过自己的努力，跻身到了全是大块头动物城警察局，成为了第一个兔子警官。为了证明自己，她决心侦破一桩神秘案件。追寻真相的路上，朱迪迫使在动物城里以坑蒙拐骗为生的狐狸尼克帮助自己，却发现这桩案件背后隐藏着一个意欲颠覆动物城的巨大阴谋，他们不得不联手合作，去尝试揭开隐藏在这巨大阴谋后的真相 。,https://p0.pipi.cn/mmdb/d2dad592b12f2a7e120faf4954319ee560065.webp?imageView2/1/w/464/h/644
速度与激情10,动作,路易斯·莱特里尔,范·迪塞尔 米歇尔·罗德里格兹 杰森·莫玛 查理兹·塞隆,2023-05-17,“唐老大”多米尼克·托莱多（范·迪塞尔饰）与莱蒂·奥尔蒂斯（米歇尔·罗德里格兹饰）和他的儿子小布莱恩，过上了远离纷扰的平静生活。 然而一个晚上，昔日的死对头塞弗（查理兹·塞隆饰）主动找上门来告知唐老大和整个飞车家族都将遭遇危险。随后，唐老大从“小无名氏”先生（斯科特·伊斯特伍德饰）处得知飞车家族的几位朋友接到了假任务。为了拯救众人，唐老大和莱蒂前往罗马救人，而把小儿子托给米娅（乔丹娜·布鲁斯特饰）和雅各布（约翰·塞纳饰）照顾。 在罗马的交锋中，唐老大发现对手叫但丁（杰森·莫玛饰），是毒枭赫南·雷耶斯的儿子；而他却并不想让唐老大和飞车家族立刻消失，而是要慢慢折磨他们，就连曾经帮助过飞车家族或是有关联的人也不会放过 。,https://p0.pipi.cn/mmdb/fb73867153751b39dd537c15123f3b985964f.jpg?imageView2/1/w/464/h/644
唐人街探案2,喜剧 动作 悬疑,陈思诚,王宝强 刘昊然 肖央 刘承羽,2018-02-16,秦风 （ 刘昊然 饰）接到 唐仁 （ 王宝强 饰）的邀请来 纽约参加其与阿香的婚礼。壕气逼人的唐仁迎接秦风，极尽招摇。岂料“婚礼”是唐仁为巨额奖金而参加的世界名侦大赛，比赛的内容是寻找杀害 纽约唐人街教父七叔的孙子的凶手。受骗的秦风怒极欲走，却被纽约华人刑警陈英送来的讯息所吸引。七叔孙子的死法离奇，寻人上升为悬赏缉凶。“名侦探”们各显“其能”，鸡飞狗跳。众人调查的同时另一起案件发生，作案手法极其相似。原本锁定的凶手竟有了不在场证明，秦风不禁对自己的推理产生了怀疑。第三起案件发生连环案件。秦风、唐仁二人再次披挂，摆脱各路纠缠，闹翻纽约，几欲接近真相。第四起，与凶手失之交臂，诡计呼之欲出。真凶伏法，动机令人不寒而栗。看似完美结案的背后却隐藏着另一个发人深省的谜题 。,https://p0.pipi.cn/mmdb/d2dad5927e10fa7a35395bc0e1bf91481fd16.jpg?imageView2/1/w/464/h/644
美国队长4,动作 科幻 冒险,朱利叶斯·约拿,安东尼·麦凯 丹尼·拉米雷斯 哈里森·福特 希拉·哈斯,2025-02-14,能够展翅高飞的猎鹰山姆·威尔逊受史蒂夫·罗杰斯的信任所托，接过盾牌，正式成为美国队长。在与美国总统罗斯会面后，山姆发现自己被卷入了一场国际事件。他必须赶在真正的幕后黑手让全世界陷入混乱之前查明真相，揭露这起波及全球的阴谋。,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa33452f87ea48b071faeb889e803212bcfc.jpg?imageView2/1/w/464/h/644
海上钢琴师,剧情 音乐,朱塞佩·托纳多雷,蒂姆·罗斯 比尔·努恩 克兰伦斯·威廉姆斯三世 普路特·泰勒·文斯,2019-11-15,1900年的第一天，往返于欧美两地的邮轮Virginian号上，负责邮轮上添加煤炭的工人丹尼·博德曼 （ 比尔·努恩 饰）在头等舱上欲捡拾有钱人残留下来的食物时，却意外的在钢琴上发现一个被遗弃的新生儿，装在TD牌柠檬的空纸箱内。由于坚信“TD”正代表了Thanks Danny的缩写，于是丹尼不顾其他工人的嘲笑，独立抚育这个婴儿，并为了纪念这特别的一天，将他取名为：1900。海上出生的1900 （ 蒂姆·罗斯 饰），在陆地上却是个从未存在的人，没有亲人、没有户籍，也没有国籍，大海便是他的摇篮，而他也随着Virginian号往返靠泊各个码头，逐渐长大。然而好景不常，一次的海上意外事件，造成抚养1900的丹尼意外丧生，幸而奇迹似的，某天深夜船上的众人被优美的琴声所惊醒，循着琴声而往，居然是无师自通的1900在钢琴前忘我的演奏着，动人的旋律打动了众人，从此，1900展开了在海上弹奏钢琴的旅程，也吸引了愈来愈多慕名而来的旅客。马克斯 （ 普路特·泰勒·文斯 饰）在因缘际会下来到Virginian号加入乐队伴奏，也因此见识到这位传说中的海上钢琴师1900，两人因此结为好友。而1900在与发明爵士乐的传奇钢琴手杰利同船竞技钢琴琴艺之后，声势更是如日中天。但尽管马克斯再三鼓励1900下船去向全世界展露他的天赋，1900却始终未曾踏足陆地一步。直到他在为唱片公司录制个人专辑时，意外见到船舱之外清秀动人的女孩，并在感动之余创作了《1900's Theme》。随着女孩的下船离去，1900的心开始波动 。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5cf87ea4f87bd8189dd2c5c8c208886.jpg?imageView2/1/w/464/h/644
孤注一掷,犯罪 剧情,申奥,张艺兴 金晨 咏梅 王传君,2023-08-08,程序员潘生（张艺兴饰）、模特安娜（金晨饰）被海外高薪招聘吸引，出国淘金，却意外落入境外诈骗工厂的陷阱。为了离开，两人准备向赌徒阿天（王大陆饰）和其女友小雨（周也饰）下手，从他们身上套现、完成业绩。潘生与安娜能否逃过诈骗集团头目陆经理（王传君饰）和阿才（孙阳饰）的残暴折磨。面对警察（咏梅饰）的跨国调查和追捕，他们又会何去何从 。,https://p0.pipi.cn/mmdb/54ecde337e12ff8d33b535c988099bdf45cd0.jpg?imageView2/1/w/464/h/644
流浪地球2,科幻 冒险 灾难,郭帆,吴京 刘德华 李雪健 沙溢,2023-01-22,在并不遥远的未来，太阳急速衰老与膨胀，再过几百年整个太阳系将被它吞噬毁灭。为了应对这场史无前例的危机，地球各国放下芥蒂，成立联合政府，试图寻找人类存续的出路。通过摸索与考量，最终推着地球逃出太阳系的“移山计划”获得压倒性胜利。人们着手建造上万台巨大的行星发动机，带着地球踏上漫漫征程。满腔赤诚的刘培强和韩朵朵历经层层考验成为航天员大队的一员，并由此相知相恋。但是漫漫征途的前方，仿佛有一股神秘的力量不断破坏者人类的自救计划。看似渺小的刘培强、量子科学家图恒宇、联合政府中国代表周喆直以及无数平凡的地球人，构成了这项伟大计划的重要一环。,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa334fc8d35c28b07bd6d3e46ea3a4340701.jpg?imageView2/1/w/464/h/644
浴火之路,剧情 犯罪,五百,肖央 赵丽颖 刘烨 冯德伦,2024-10-01,肖央赵丽颖刘烨爆改纯恨战士，边境打拐玩命追凶，狠人狠地办狠事！国庆档犯罪爽片强势来袭！！！ 三位穷途末路的父母，一场玩命绝杀的旅途。,https://p0.pipi.cn/basicdata/54ecde51be151b7df53139242f9d63680d4ca.jpg?imageView2/1/w/464/h/644
机器人之梦,动画 家庭,巴勃罗·贝格尔,伊万·拉班达 阿尔伯特·特里佛·塞加拉 拉法·卡尔沃 何塞·加西亚·托斯,2024-06-08,冲进奥斯卡，获动画最高奖，没有一句台词，却被评为年度必看高分电影。 一只孤独的小狗遇到了一个机器人，诺大的城市中，他们互相依靠，温暖彼此。然而一次意外让小狗和机器人遗憾错过，从此他们只能把对彼此的想念藏进梦中。只是，反复梦见的人，还会重逢吗？,https://p0.pipi.cn/mmdb/54ecde7133951b7df5b5355ba9bf8e2ad643e.jpg?imageView2/1/w/464/h/644
完美的日子,剧情,维姆·文德斯,役所广司 柄本时生 中野有纱 麻生祐未,2024-11-15,这是一部讲述平凡人在日常生活中寻找美好的电影。平山在东京是一名厕所清洁工。他似乎对自己简单的生活感到十分满足。他的日常生活井井有条，空闲时间用来欣赏音乐和阅读书籍。平山还喜欢树木，并拍摄树木。通过一系列意想不到的邂逅，他的过去逐渐浮出水面。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c8d3ea482bf8dd476a6ac2fef0f350.jpg?imageView2/1/w/464/h/644
