电影名称,类型,导演,演员,上映时间,简介,头图
英皇电影城（北京）有限公司英皇2023年英国电影展,,未公布,,,暂无剧情简介,https://p0.pipi.cn/mmdb/fb7386920fa51b02ff39dd7483898a9339890.jpg?imageView2/1/w/464/h/644
风都侦探剧场版：假面骑士颅骨的肖像,剧情 动作 动画,种村绫隆,细谷佳正 内山昂辉 关根明良 小松未可子,2024-11-08,在那风之都市，无数暗影潜行， 曾几何时，一名硬汉在黑夜驰骋，独自背负罪孽，不顾双手班污，只为驱逐邪恶，替活于日光下的民众换取和平。 直至命运的邂逅，让他遇上某位满腔热血的半吊子 少年， 引导出“起始之夜”(Begin’s Night)，促使首位 二为一体的蒙面超人诞生—一 “来，细数你的罪恶吧!”,https://p0.pipi.cn/basicdata/54ecde9251bbe187a9c696b1b2805eb51d0a2.jpg?imageView2/1/w/464/h/644
动物园里有什么？,喜剧,安小满,包贝尔 宋晓峰 潘斌龙 贾冰,2024-01-12,一个打工社畜突然接手濒临倒闭的动物园，他试图与奇葩员工们完成一场令人匪夷所思的动物园营业计划。,https://p0.pipi.cn/mmdb/54ecdedd71f2ff0faf0faf434df0cbecc9632.jpg?imageView2/1/w/464/h/644
从21世纪安全撤离,喜剧 科幻 青春,李阳,张若昀 钟楚曦 宋洋 吴晓亮,2024-08-02,友情提示：请在地球人陪同下前往影院观看。在地球人都不知道的K星，三个被命运选中的少年，靠打个喷嚏就可以往返未来二十年。面对毁灭世界的惊天阴谋，他们除了清澈的愚蠢和个位数的战力外一无所有，如何变身英雄对抗意图毁灭世界的超级坏坏的大坏蛋？8月3日，外表看似大人，头脑却异于常人的“王炸”兄弟组合，代表k星拯救未来！,https://p0.pipi.cn/basicdata/54ecded77a3338be2abe1256c0840539719f1.jpg?imageView2/1/w/464/h/644
刀郎人,纪录片,未公布,,2020-04-28,这是一部以刀郎人为角色的影片，发生在叶尔羌河畔和塔克拉玛干沙漠之间的狭长绿洲地带。这里的民间，孕育出独特的果实——刀郎农民画。片子通过讲述农民画的人物故事，呈现人类共通的情感脉络，将真实的大漠绿洲生活，展现于世人面前。,https://p0.pipi.cn/mmdb/d2dad5927a3be1338f3ba3e986f2974d50b4a.jpg?imageView2/1/w/464/h/644
长空之王,剧情 动作,刘晓世,王一博 胡军 于适 周冬雨,2023-04-28,雷宇 （王一博饰）等优秀飞行员经过严苛选拔正式成为试飞员，他们在队长张挺 （胡军饰）的带领下，参与到了最新型战机的试飞。高空之上，发动机骤停甚至失火，飞机失去控制。他们一次次与死神过招，只为获取最极限的数据。随着战机交付日期的临近，任务难度逐渐升级，试飞员们面临着更大的挑战 。,https://p0.pipi.cn/mmdb/fb73868787a807cbae71f74de48b058b8a09d.jpg?imageView2/1/w/464/h/644
泪光中的妈妈,剧情,杜奇泉,陶红 张国强 张雨提 范雷,2024-05-11,外科医生闫丽含辛茹苦管教正上初二的儿子小泽；当老师的高涵培养上高二的女儿小可；出租车司机徐玲转变痴迷游戏的儿子、五年级学生虎子。三个母亲与儿女，在不同亲子关系的纠葛碰撞中，最终感悟了爱的情感与相互尊重,https://p0.pipi.cn/basicdata/54ecded711e33907ac71f7c52881a77461aac.jpg?imageView2/1/w/464/h/644
票房过亿,,未公布,,,生活在农村的大牛梦想着拍一部电影，但是筹资的钱却被人接连骗走，写的剧本也不被导演看好，在困苦中，理解到生活的本质，最终拍出一部广受欢迎的作品,https://p0.pipi.cn/mmdb/d2dad5927a39abecd8c696950aed9f0ed2c4d.jpg?imageView2/1/w/464/h/644
宇宙护卫队：风暴力量,动画 冒险,刘彭,李靖 刘蕊 姜英俊 李泽钰,2023-04-29,十年前，风暴的父亲和族人在和狂岚博士的战斗中失踪。如今风暴已成为宇宙护卫队的队长，并偶然间得知父亲可能和狂岚博士一同被困在异时空中。于是风暴和伙伴们通过制造时空缝隙来到异时空，并找到了消失的蓝虎族。,https://p0.pipi.cn/mmdb/fb73868787a92350150fafb7b1bf49a8cd9cb.jpg?imageView2/1/w/464/h/644
熊出没之过年,动画,刘富源,张伟 辛媛 万丹青,2013-02-08,到新年了，森林里各个动物都忙碌了起来，装灯结彩过新年。光头强也要回家过年，但是发现从狗熊岭到老家团结屯的车票只有一等票，他买不起，而此时又是腊月二十九了，于是便向欠钱的李老板讨债。李老板却要光头强砍百年美人松回来。无计可施的光头强不得不去砍树，因为普通电锯无法砍，还特地造了超级伐木机去砍。但是在动物们齐心协力下使伐木机出了故障，不被控制，把光头强的房屋砍得面目全非。熊大熊二从光头强母亲的电话处得知光头强只是想回家，于是决定送他回家。在齐心协力之下，熊大熊二驾驶着由伐木机改装的汽车载他回家。结果吉吉和毛毛也偷上了车。它们在车上扔苹果核砸到一名警察头上，警察便要捉住它们，但失败了。此时光头强醒来以为它们要驱逐自己出森林，便逃跑随便上了一辆车，到达了火车站。熊大熊二也跟着到了。要捉住它们的警察到了车上发现没人。此时吉吉和毛毛偷了警察的摩托车也奔向火车站。在火车站，光头强听见正好是去老家的车，便偷偷到了行李车厢准备进去，却被人当做小偷被揪住。在这千钧一发之时，熊大熊二出现了，让揪光头强的保安都去捉它们，光头强趁机上车。熊大熊二被捉住后，光头强无意听见保安要卖熊给研究院去做研究，思想斗争后下车去拯救它们。熊救到了，火车却开走了。此时熊大熊二用简易车头帮他上火车。结果光头强正要跳上火车时，因风大他被吹到林子里，正巧乘上吉吉毛毛驾驶的摩托车，而因吉吉的疏忽车撞上树，摩托车撞成两半，光头强那没有操纵盘的一半又行驶上了铁道，被熊大绳子牵住，结果绳子即将断裂之时熊二抓住了绳子，熊大熊二和光头强终于都上了火车，光头强也在进入隧道的一刹那拯救了熊大熊二。大年三十晚上新年的钟声敲响时光头强和熊大熊二幸福地躺在一起，度过了美满的新年。大年初一早晨列车抵达团结屯，光头强发现熊大熊二早已在半路下车，却发现行李上有着它们画的画，想起它们对自己的帮助才回到的家，感动落泪，泪与画糊成一团，看不分明了。熊大熊二走得累时，恰逢吉吉毛毛的另半辆摩托车，动物们乘摩托车开始了向它们的老家森林的进发，可因为熊大熊二太重，摩托车非常慢。光头强到家时百感交集，高兴不已。,https://p0.pipi.cn/mmdb/d2dad59206df2ac69602ff7e5e6785d2c1e11.jpg?imageView2/1/w/464/h/644
灿烂的她,剧情 家庭,徐伟,惠英红 刘浩存 张子贤 刘欢,2024-03-15,慈祥宽容的奶奶（惠英红 饰）与十二年前意外走失的孙女（刘浩存 饰）重逢，祖孙二人从生疏到彼此依偎。相处期间，她们身上的秘密也逐渐被揭开。最终奶奶拯救了这个本对人生不抱希望的“孙女”。,https://p0.pipi.cn/mmdb/54ecdedd71f2ff5bf1537ce635be945338963.jpg?imageView2/1/w/464/h/644
指环王,剧情 动画 奇幻 冒险,拉尔夫·巴克希,约翰·赫特 迈克尔·格拉汉姆·考克斯 安德鲁·莫瑞尔 阿兰·提尔文,1978-11-15,这部影片改编自一部全球知名的小说《指环王》（TheLordoftheRings）。它出自名作家J.R.R.Tolkien之手，由三个各自独立而又相互关联的故事组成。这部小说至少已有1亿5百万人通读过，而浏览过的更是不计其数，可以说它是近100年来少有的一部经典巨作。近几十年来，这一故事曾多次被搬上银幕但均未获得较大的成功，只有1979年拍摄的动画版才获得了一点点好评。这部片子作为70年代的动画大作，画质算是比较不错了。其风格与迪斯尼自是大不相同，似乎有点中国水墨的影子。网上影评协会(OFCS)影史百部动画佳片之90,https://p0.pipi.cn/basicdata/54ecde2fc698d316bd1789394c3995af6ee52.jpg?imageView2/1/w/464/h/644
天堂电影院,剧情 爱情,朱塞佩·托纳多雷,菲利浦·诺瓦雷 雅克·贝汉 马克·莱昂纳蒂 萨瓦特利·卡西欧,2021-06-11,在意大利南部小镇姜卡尔多，童年的小多多不仅喜欢看电影，还喜欢看放映师艾弗达“剪”电影：在40年代的意大利小镇上，电影在放映之前都要经由牧师检查，把认为观众不宜的镜头（比如接吻戏）严格地剪掉之后，才可以放映。所以，观众每当发现接吻镜头又被删去了的时候，就会全场起哄、甚至吐口水；而放到煽情的段落，观众们又会集体嚎啕大哭，总之电影院里总是热闹非凡。小多多把那些在转动中带来神奇影像的胶片视若珍宝，他的理想就是成为像艾费多那样的电影放映师。不过艾费多看到了小多多的聪慧伶俐，他认为小多多将来一定会有更远大的前程，他劝小多多离开小镇：“不要在这里呆着，时间久了你会认为这里就是世界的中心。” 而小多多还很难理解艾费多的话，他每天来放映室跟艾费多学习电影放映。好心的艾费多为了让更多的观众看到电影，搞了一次露天电影，结果胶片着火了，小多多把艾费多从火海中救了出来，但艾费多双目失明了，不能继续放电影。小多多成了小镇唯一会放电影的人，他接替艾费多成了小镇的电影放映师。多多渐渐长大，他爱上了银行家的女儿艾莲娜。初恋的纯洁情愫美如天堂，但是一对小情侣的海誓山盟被艾莲娜父亲的阻挠给隔断了，多多去服兵役，而艾莲娜去念大学。在艾弗多的劝说下，伤心的多多从此离开小镇，追寻自己生命中的梦想。三十年后，成名的多多回来向他的老朋友做最后的告别。艾费多留给他一份礼物，原来是当初被镇上的检查员勒令剪掉的吻戏胶片。看着这些镜头，多多突然发现自己已经理解了生命中的一切。,https://p0.pipi.cn/mmdb/d2dad592c7e7e12c95e5bc932c06e07c8fb88.jpg?imageView2/1/w/464/h/644
中国医生,剧情,刘伟强,张涵予 袁泉 朱亚文 李晨,2021-07-09,2020年春节前夕，武汉人民在欢乐地准备过新年，但新冠肺炎开始蔓延。从一开始的几例，到越来越多送的病人扎堆往金银潭医院。随着疫情爆发，作为专门的传染病医院，因为大量病人的涌入，很快就超出医疗的负载能力，医生的精力被极度透支。此时，来自上海、广东等地的援鄂医疗队从四面八方赶到武汉，与武汉共同面对这一难关 。,https://p0.pipi.cn/mmdb/d2dad5927a3be17df5339e69579b5b02a473e.jpg?imageView2/1/w/464/h/644
陌路无期,爱情 青春 喜剧,吴鹏雄,张恒俞 陈汉典 吴以涵 古承颐,2024-11-29,人生的旅途就是不断的骑行，不断的遇见，来的莫名其妙，走的毫无征兆。海岛青年吴鹏，带着爱的秘密前往台湾岛。开启了一次莫问前路的环台之旅，一次为爱骑行的救赎之旅，一次爱与不爱的抉择之旅。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c8d315d72a9a2199e0c55d805752b7.jpg?imageView2/1/w/464/h/644
江豚·风时舞,动画 爱情 奇幻,陈曦,蔡海婷 谷江山 聂曦映,2024-01-20,如果你是神，你是否会舍己，而救苍生？千百年来，江豚一族以拜风之舞，守护长江子民。现代长江生态遭受破坏，令存活千百年的江豚一族逐渐走向灭绝。江豚仙子江泠肩负着拯救族人的使命，勇敢闯入人间，但江豚一族与人类的积怨已深，江泠能否克服重重艰险成功拯救江豚，人类与江豚跨越千年的羁绊又能否续写？,https://p0.pipi.cn/mmdb/54ecde8d2c9c7ed7c321f0452789814a58ac8.jpg?imageView2/1/w/464/h/644
年少日记,剧情,卓亦谦,卢镇业 郑中基 陈汉娜 韦罗莎,2024-04-19,一名有轻生念头的十岁学童如何面对家庭和社会带来的绝望感。,https://p0.pipi.cn/mmdb/54ecde025bf51b8ea39ab4ff1eec4d5341980.jpg?imageView2/1/w/464/h/644
好东西,剧情,未公布,,2022,一个懒惰的摇滚明星需要现金，找到容易的钱利用他妻子的祖父。,https://p0.pipi.cn/basicdata/54ecded7c690e1313907ac31ccd493c82ff4a.jpg?imageView2/1/w/464/h/644
头脑特工队,动画 喜剧 家庭,彼特·道格特,艾米·波勒 菲利斯·史密斯 敏迪·卡灵,2015-10-06,每个人的成长都绝非一帆风顺，莱莉也是这样。父亲因为工作原因举家搬迁到旧金山，莱莉也只得和曾经熟悉的生活说再见。和所有人一致，莱莉也是被她大脑里的五种情绪小人共同支配——乐乐、怕怕、怒怒、厌厌和忧忧。这五位情绪居住在莱莉脑海里的控制中心，在那里他们可以通过适当调配来指导莱莉的日常生活。然而搬来旧金山，全新的环境与生活都需要莱莉适应，混乱渐渐在控制中心里滋生。莱莉来到新学校的第一天，五位情绪就因为失控令莱莉在新同学面前出丑，混乱中乐乐和忧忧更被抛出控制中心，流落在莱莉的茫茫脑海。只留下怕怕、怒怒和厌厌的控制中心更加混乱，莱莉甚至无法与人进行正常沟通。乐乐和忧忧则要想尽办法要回到控制中心，力求在莱莉完全崩溃之前挽救她的生活以及家庭 。 《头脑特工队》,https://p0.pipi.cn/mmdb/d2dad592b125bf230f7e1264015f89b682be2.jpg?imageView2/1/w/464/h/644
还是觉得你最好,爱情 喜剧,陈咏燊,黄子华 邓丽欣 张继聪 王菀之,2022-09-09,大哥的前女友竟成为二哥现女友。自尊心驱使下，大哥答应了新结识的喵喵的追求。三弟和女友的姐弟恋同样面临危机。同一屋檐，3对情侣，4段恋情，每晚的聚餐渐渐演变成饭桌修罗场。面对爱情与亲情，他们将做何选择？,https://p0.pipi.cn/mmdb/54ecde8d9233389ab4e5bc2212875877df00b.jpg?imageView2/1/w/464/h/644
开心超人之时空营救,动画,黄伟明,刘红韵 邓玉婷 严彦子 祖晴,2024-01-20,超人们在执行任务的过程中陷入大危机，一个神秘人出现夺走同伴的能量，为救回同伴，小心超人一路追凶，跨越时空，意外坠入一个全新的世界，在这里他经历了重重冒险……神秘人的目的究竟是什么？小心超人该如何救回自己的同伴呢……1月20日全国上映，敬请期待！,https://p0.pipi.cn/mmdb/54ecde8d53792367cb67cbb83adca19070b2d.jpg?imageView2/1/w/464/h/644
我的朋友安德烈,剧情,董子健,刘昊然 董子健 殷桃 韩昊霖,,电影改编自双雪涛的同名小说。性格迥异的李默（刘昊然 饰）与安德烈（董子健 饰）因为足球成为知己，而一场意外却让安德烈跟随年少往事一起消失在了李默的记忆中。多年后，李默在为父亲奔丧路上与安德烈“重逢”，一段尘封的回忆被逐渐揭开……,https://p0.pipi.cn/mmdb/54ecde92b12b12be12281ead2db7033f666de.jpg?imageView2/1/w/464/h/644
熊出没·狂野大陆,喜剧 科幻 动画,丁亮,张秉君 熊大 谭笑,2021-02-12,狗熊岭附近新开业了一个神奇的“狂野大陆”，在那里，通过基因技术人可以自由变身各种动物，享受无比的自由和快乐。导游事业受挫的光头强，阴差阳错与神秘人乐天和熊二组队，参加乐园里奖金丰厚的比赛，却遭遇了队友乐天的背叛，历尽艰险终于获得冠军之际，却意外发现狂野大陆里隐藏着惊天的阴谋。比赛中的变身动物发生了奇怪的兽化，威胁到了所有人。为此，光头强和两熊再次挺身而出，拯救危机。,https://p0.pipi.cn/mmdb/d2dad5927a30e10faf11e5bd6369b39808eb2.jpg?imageView2/1/w/464/h/644
噬魂岛,恐怖 惊悚,魏冬雷,蔡鹏飞 伍月 万斯佳 王盛,2024-11-29,一艘观光游轮在一片诡异的海域失事，乘客们被冲上了一座地图上并不存在的岛屿。小岛弥漫着穿透身体的恐怖黑色团雾，在岛上的幸存游客，纷纷被自己恶梦中的恐怖鬼魂蛊惑，中邪发疯，更有游客莫名人间蒸发，死去的乘客突然消失。诡异的山洞里几具泛着磷光的枯骨，向幸存的人们揭示了一个更为恐怖绝望和匪夷所思的未来……,https://p0.pipi.cn/basicdata/54ecde51ddd5bfc696338fe4e640e4c562a4e.jpg?imageView2/1/w/464/h/644
许巍此时此刻巡回演唱会,音乐,未公布,许巍,,许巍 此时此刻 巡回演唱会 初心不忘 真心拥抱 此时此刻 永不落幕 时光荏苒，匆匆两年，许巍“此时此刻”巡回演唱会在跋涉了16座各具风格的城市之后，在5月16日最终收官回归北京——这一轮巡演的起始站，为这700多天的岁月、17个与音乐朋友一同缔造的难忘夜晚回报以“此时此刻”的初心和感激。 对音乐和人生 以初心不忘 在去年发行了忠实收录了十场演唱会的双CD LIVE纪录辑之后，许巍依旧马不停蹄地行进在音乐之路上，不仅继续着精彩纷呈的此时此刻巡演，更推出了他两年多来的第一首全新创作——《第三极》，一经发表即好评如潮；不久前，他抓住巡演间隙的灵感创作的全新单曲《灿烂》更是将音乐空间拓展到了更广阔、更温暖的自然之境，充满律动的节奏征服了所有人。许巍的每一次创作过程，都让他获得对生命和音乐更深层的理解，而每去到一个城市，他也对整场演出有了更多的想法和心得。所以...,https://p0.pipi.cn/basicdata/54ecde2f06d8d3313907ac7e3028f915404da.jpg?imageView2/1/w/464/h/644
沙丘2,科幻 动作 冒险 剧情,丹尼斯·维伦纽瓦,提莫西·查拉梅 赞达亚·科尔曼 丽贝卡·弗格森 乔什·布洛林,2024-03-08,《沙丘2》将会探索保罗·厄崔迪的传奇之旅，他与契妮和弗雷曼人联手，踏上对致其家毁人亡的阴谋者的复仇之路。当面对一生挚爱和已知宇宙命运之间的抉择时，他必须努力阻止只有他能预见的可怕的未来。,https://p0.pipi.cn/mmdb/54ecdebe7a351bd236c69612ca47cec9ad381.jpg?imageView2/1/w/464/h/644
千与千寻,动画 冒险 奇幻 家庭,宫崎骏,柊瑠美 周冬雨 井柏然 入野自由,2019-06-21,有点娇气任性的10岁少女 千寻 （柊瑠美 配）跟随父母搬往新家，途中误入一座神庙，来到了另一个世界：一条专门给神仙提供服务的热闹非凡的浴场街。双亲因为吃了给神准备的美食而被变成了猪。千寻仓皇逃出，此时，一个叫 白龙 （入野自由 配）的男孩出现并救了她，在白帮助下千寻得以安身。为了等待机会救出父母回到自己的世界，首先要为掌管镇中大浴场的魔女 汤婆婆工作 （夏木真理 配），第二要被她剥夺名字，千寻便改名为“千”。在这里有指导她工作的 小玲 （玉井夕海 配）、负责煲洗澡水的 锅炉爷爷 （菅原文太 配）、煤炭屎鬼、以及入侵浴场捣乱的 无脸男等，在大家的激励下，千寻以自己的纯真之心屡屡化险为夷，并交到了许多新朋友。最终，千寻拯救了白，发现了他的真实身份。然而要救出双亲，她还必须面临严酷的考验。,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236ddd2bcc439d544928aa.jpg?imageView2/1/w/464/h/644
姜子牙,动画 动作 冒险,程腾,郑希 杨凝 图特哈蒙,2020-10-01,这是一个与现实平行的神奇世界。多年以前，这里曾被一个堕落的邪神统治，黑暗笼罩大地。当这个世界最需要 姜子牙的时候，他带着融汇自己全部智慧的“六韬”，当然还有钓竿儿来到了这个世界。一场旷世之战，拨云见日，整个世界都在姜子牙的庇荫和引导之下走向繁荣。,https://p0.pipi.cn/mmdb/d2dad592537923f0ee3ba3d1e6deb7a045228.jpg?imageView2/1/w/464/h/644
老炮儿,剧情 动作,管虎,冯小刚 张涵予 许晴 李易峰,2015-12-24,曾经风光四九城的老炮六爷 （ 冯小刚 饰），难以适应社会巨变，蛰伏于胡同深处，过着溜鸟、管闲事、发牢骚的无聊日子。某日，六爷和“小炮儿”儿子晓波父子间产生巨大情感冲突，导致小炮儿负气离家出走，不想遭遇暗算，被新崛起一代的“小爷”小飞非法拘禁。为了解救儿子，并偿还当年对儿子的愧疚之情，六爷重出江湖。六爷用自己的规矩，试图摆平事件，却无奈的发现，无论是这个时代，还是自己的身体，早已今非昔比。一场父子恩仇、新旧势力的对决无法避免。在解决烂摊子的过程当中，老炮发现自己身体也出现了问题，真正力不从心。但同时也在抽丝剥茧的查询过程中抓住了 “三环十二郎” 的把柄，两人下了对战书决定来一场单挑。,https://p0.pipi.cn/mmdb/fb7386bee7ac7ebe2a39dd7602fe58d9b1596.jpg?imageView2/1/w/464/h/644
让子弹飞,剧情 喜剧 动作 西部,姜文,姜文 周润发 葛优 刘嘉玲,2010-12-16,民国初期，土匪头目张麻子劫持了买官上任的鹅城县长马邦德，拿着委任状假扮新县长上任。鹅城地处偏僻，一方霸主黄四郎只手遮天，欺男霸女的行为激起了张麻子救国救民的热情。在这场土匪和恶霸的角力之中，双方斗智斗勇。最后，张取得了胜利，为鹅城百姓伸张了正义。,https://p0.pipi.cn/mmdb/d2dad592c7e7e17a357df52dda71848f04ce1.jpg?imageView2/1/w/464/h/644
东北虎,剧情,耿军,章宇 马丽 张志勇 徐刚,2022-01-14,美玲 （ 马丽 饰）即将临盆，她的丈夫徐东 （ 章宇 饰）只好将家中心爱的狗托朋友寄养到别处。马千里 （ 张志勇 饰）是债务缠身的建筑商，他在穷途末路之际，偶然接收了徐东的宠物，不幸的是这只狗的死亡让两个站在人生岔路口的失意者狭路相逢，满腔怒火的徐东在复仇的道路上屡战屡败，但却发现了马千里不为人知的一面，与此同时，美玲也意外的发现了徐东的秘密，不易熄灭的仇恨之火被点燃，熄灭仇恨的灭火器迟迟没有打开。东北虎在动物园里晒着太阳发呆，它似乎已经习惯了每天被饲养员扔下食物的生活 。,https://p0.pipi.cn/mmdb/d2dad52f11e92302ffd7c3503c71bf67399ca.jpg?imageView2/1/w/464/h/644
碟中谍7：致命清算,动作 惊悚 冒险,克里斯托夫·迈考利,汤姆·克鲁斯 海莉·阿特维尔 文·瑞姆斯 西蒙·佩吉,2023-07-14,当一个绰号为智体的人工智能有落入坏人之手的危险时，特工伊森·亨特的任务是找回控制或摧毁它所必需的两部分钥匙。伊森·亨特带着他可靠的团队成员，卢瑟·斯蒂克尔、 班吉·邓恩和伊尔莎·浮士德开始试图寻找钥匙并摧毁它。当伊森·亨特在追捕他过去的敌人盖布瑞尔时，一个自作聪明的扒手格蕾丝让这一切变得混乱不堪 。,https://p0.pipi.cn/mmdb/fb7386d7923ddd67cb80773112b68457d8aea.jpg?imageView2/1/w/464/h/644
今夜，就算这份爱恋从世界上消失,剧情 爱情,三木孝浩,道枝骏佑 福本莉子 古川琴音 松本穗香,2024-05-18,我的人生是无色透明的。在与日野真织相遇之前——。　　被同班同学煽动，对她设计了的谎言的告白。但是她以“彼此都真心不喜欢”为条件接受了告白。　　就这样开始了虚假的恋爱。不久之后，当它不再是谎言的时候--我知道。　　“我病了。你说忘了，晚上睡觉就忘了。一天中发生的所有事情”　　与每天都失去记忆的她，每天积累着仅限一天的恋爱。但是那个突然宣告结束……。　　本片改编自同名小说，女主角真织因为患上疾病，每天都会失去记忆，男主角小透以一次虚假的告白为契机，决定守护真织的幸福。电影描述了他们之间感人的恋情。,https://p0.pipi.cn/mmdb/54ecde87c69923d23cb12d45e8c72f00d5a87.jpg?imageView2/1/w/464/h/644
超级飞侠：乐迪加速,动画 冒险 喜剧 科幻,冯操,张嘉骐 吴若萱 何沛祺 朱子俊,2023-07-08,超级飞侠乐迪是世界上最快的飞机，但他不甘于只送快递，他想像其他飞侠一样去拯救世界。他接到一项新任务，一个神秘的包裹，一次跨越大洲的派送， 乐迪却因此偶然介入了一场将世界陷于危机的恶作剧中。面对危机，乐迪和其他超级飞侠将发挥各自的救援能力，争分夺秒合力拯救世界！介绍：乐迪是世界上最快的飞机！他充满活力与自信。乐迪与国际机场上的每个人都非常友好，他喜欢飞往世界各地，帮助小朋友递送包裹。每当有困难时，他便会呼叫他最好的朋友“超级飞侠”来帮忙！性格特点：开朗自信，聪慧过人，任何时候都能做出正确的判断。介绍：多多是“超级飞侠”中的优秀工程师。他总是以最好的状态，迎接无限的可能。他是一个善良且值得信赖的好伙伴，拥有强大的“超酷工具组合”，总能在关键时刻帮助到其它小飞侠。虽然多多头脑聪慧，但总喜欢搞出让人哭笑不得的事情。介绍：小爱是一架粉红色的救援直升机，身上带有救援绳和应急装备。别看他斯斯文文，他可是非常厉害的哦。只要乐迪陷入危急情况，需要帮助时，小爱就会立刻出动，因为他们是最好的伙伴！介绍：包警长是一架正气凛然，充满正义感的飞机，他是个工作狂，即使没有事情发生也会找东西去做。他常常外出巡逻寻找罪案，但每当他遇到案件出现时，他就会变得强悍而极端。,https://p0.pipi.cn/mmdb/fb7386d7d7c06dd2360faf3ee86cd4ef0f1d1.png?imageView2/1/w/464/h/644
想飞的女孩,剧情,文晏,刘浩存 文淇 张宥浩 刘奕铁,2025-03-08,电影《想飞的女孩》讲述了一对表姐妹二十余年的成长与救赎：拼死逃离毒窟的田恬（刘浩存 饰）走投无路，前去寻找已决裂五年的表姐方笛（文淇 饰）。但此时，为了生存和梦想已伤痕累累的方笛并没有做好接纳表妹的准备。随着犯罪分子的步步紧逼，姐妹二人命运的齿轮不得不重新咬合在一起……,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa33452f8715d3cbcce636cd992878e5bc44.jpg?imageView2/1/w/464/h/644
金手指,剧情 犯罪,庄文强,梁朝伟 刘德华 蔡卓妍 任达华,2023-12-30,用100元的投入换来百亿奢靡人生！看穷小子不择手段颠覆规则将财富和权势玩弄于股掌之中！梁朝伟刘德华二十年后再合体，极致演绎跨年档最受期待的 “暴富”大片！改自真实案件揭秘金融资本内幕！看《金手指》，一览上流社会令人瞠目结舌的狂妄生活！ 上市公司嘉文集团在短短几年间从默默无名到风生水起，再到没落清盘，市值蒸发超过一百亿。幕后老板程一言(梁朝伟饰)也从万众瞩目的股民偶像变成人人喊打的过街老鼠。高级调查主任刘启源(刘德华饰)长达十五年锲而不舍地搜证和跨境调查，消耗超过两亿诉讼费，竟发现局中有局案中有案，牵涉数条人命并波及香港整个上流社会，究竟谁在幕后?谁能逃脱?谁会出局?,https://p0.pipi.cn/mmdb/fb73862f5bf5bf02ff300b44817687f64dd8c.jpg?imageView2/1/w/464/h/644
我的遗憾和你有关,青春 爱情,甄永波,何蓝逗 曹煜辰 靳阳阳,2022-11-04,我最大的遗憾是，你的遗憾也与我有关。明明互相喜欢，却不得不接受命运的安排。向言和林衡宇从小相识，因故分开，大学又因一场啼笑皆非的闹剧重逢。一个是前途光明的外科大神，一个是家境优渥的绘画才女，怀揣着从校服到婚纱的美好憧憬，带着众人羡慕的目光，未来也在一步步规划中徐徐展开，但无法预料的阻碍也悄悄到来……,https://p0.pipi.cn/mmdb/25bfd69202f3393ba37e12a0b4797df31b7f4.jpg?imageView2/1/w/464/h/644
